title,description,image,size,price
product1,VIMAL Men Cotton Self Design Pack of 2 Beanie Cap (= product2)s,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4288768/2018/3/19/11521449638402-VIMAL-Men-Cap (= product2)s-7061521449638172-1.jpg",,6.92
product1,Tossido Green Woven Design Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2165904/2017/10/9/11507529281891-Tossido-Green-Woven-Design-Slim-Tie-711507529281749-1.jpg",Length: 152.4 cm,31.79
product1,INVICTUS Maroon & Pink Checked Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2113751/2017/11/6/11509952686435-INVICTUS-Men-Maroon--Pink-Checked-Tie-4911509952686294-1.jpg",Length: 156 cm,97.44
product1,FabSeasons Unisex Grey Fedora Hat,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1377049/2016/6/2/11464852418316-FabSeasons-Unisex-Grey-Fedora-Hat-8711464852418141-1.jpg",,117.11
product1,Lino Perros Men Black & Brown Leather Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7510830/2018/10/7/867c3b93-b570-495c-a8a5-9937c588d09d1538904627295-Lino-Perros-Men-Black--Brown-Solid-Belt (= product1)-1911538904627213-1.jpg",Width: 3.5 cm,6.92
product1,Louis Philippe Pink Silk Woven Design Broad Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8586607/2019/2/8/296581b3-eed8-473f-bd46-34d6f6efbeeb1549614778890-Louis-Philippe-Pink-Woven-Design-Broad-Tie-8221549614778451-1.jpg",Length: 1.48 m,524.96
product1,Tommy Hilfiger Men Grey Leather Textured Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8387445/2019/1/25/a543d632-6c6e-493e-908b-f1496d7075851548396696917-Tommy-Hilfiger-Men-Grey-Textured-Belt (= product1)-4851548396696687-1.jpg",Width: 3.5 cm,159.42
product1,United Colors of Benetton Men Brown Solid Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8489003/2019/1/22/3d4156da-d184-4d4d-8c25-c72de96363981548140021443-United-Colors-of-Benetton-Men-Tan-Solid-Two-Fold-Wallet-6041-1.jpg",Height: 10 cm,97.44
product1,Alvaro Castagnino Men Coffee Brown Textured Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7620941/2018/10/12/951ae957-b772-4694-b18d-ba9a44a5a46b1539324623235-Alvaro-Castagnino-Brown-Colored-Single-Side-Formal-Belt (= product1)-for-Men-9791539324623153-1.jpg",Width: 4 cm,263.33
product1,Louis Philippe Black & Grey Printed Skinny Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8363527/2019/1/4/837f2ac2-216e-4cdc-8e95-01c8583945f71546593766290-Louis-Philippe-Black--Grey-Printed-Skinny-Tie-68315465937655-1.jpg",Length - 157 cm,35.84
product1,Tommy Hilfiger Men Black & Coffee Brown Solid Reversible Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8386821/2019/1/28/60bc46dc-8874-43c6-9614-cfc580f31cf91548660697806-Tommy-Hilfiger-Men-Belt (= product1)s-3931548660697723-1.jpg",Width: 4 cm,35.84
product1,The Tie Hub Black & White Checked Broad Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6959294/2018/7/17/121708d9-f9cc-40c8-bfa1-e6456c3fe76b1531819514330-The-Tie-Hub-Black--White-Checked-Broad-Tie-7041531819514159-1.jpg",Length: 147 cm,364.69
product1,Alvaro Castagnino Men Pack of 3 White Cotton Handkerchieves,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/10/f8f32bb3-1fb7-4610-b3dc-7faed381bcec1547088764537-1.jpg",,6.92
product1,CHRISTOPOLO Men Black & Tan Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/30/4a0c528a-5b1c-40e4-b667-92b8a332d1591543561744546-1.jpg",Width:,117.11
product1,Dare by Voylla Blue Geometric Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/20/1fa7bafc-d0c6-4bbd-8d28-5680d8e801ad1547949361979-1.jpg",Dimensions:,263.33
product1,Tossido Men Blue Accessory Gift Set,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7745076/2018/11/14/c2671bea-dc4b-4de2-a554-8b323a8981091542177775884-Tossido-Men-Blue-Accessory-Gift-Set-6121542177775669-1.jpg",,90.93
product1,Puma Unisex Black Solid Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2445486/2018/4/19/11524120003371-duoCELL-running-cap-II-5181524120003153-1.jpg",,56.67
product1,Puma Unisex Blue Solid Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6609069/2018/6/1/f8849441-fcf4-4e72-8d28-50c26b8536fb1527842436271-Puma-Unisex-Cap (= product2)s-9921527842435241-1.jpg",,35.84
product1,Knotyy Unisex Set of 2 Beanie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4378528/2018/3/29/11522304839080-Knotyy-Unisex-Blue--Black-Solid-Beanie-6411522304838935-1.jpg",,364.69
product1,SPYKAR Men Black Textured Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6614355/2018/6/8/fec9133c-daeb-4fbc-8820-bfe36cf54cba1528434307784-SPYKAR-Men-Belt (= product1)s-9801528434307685-1.jpg",Width: 3.8 cm,56.67
product1,United Colors of Benetton Men Navy Blue Solid Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8489075/2019/1/22/713dddda-429e-42fe-8384-42e86fc2181d1548139377878-United-Colors-of-Benetton-Men-Navy-Blue-Solid-Two-Fold-Walle-1.jpg",Height: 10 cm,364.69
product1,INVICTUS Black & Grey Woven Design Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2113760/2017/11/6/11509961772136-INVICTUS-Black--Grey-Woven-Design-Tie-481509961771756-1.jpg",Length: 148 cm,97.44
product1,Pacific Gold Men Black & Brown Reversible Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1699885/2016/12/24/11482574474239-Pacific-Gold-Men-Belt (= product1)s-1861482574474096-1.jpg",,159.42
product1,Tossido Blue Woven Design Bow Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2378070/2018/1/4/11515061043175-NA-2111515061043064-1.jpg",Length: 12cm,524.96
product1,INVICTUS Teal Green & Black Checked Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2113691/2017/11/6/11509963476850-INVICTUS-Green--Black-Woven-Design-Broad-Tie-8211509963476673-1.jpg",Length: 145 cm,263.33
product1,Peter England Men Brown Leather Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8480145/2019/2/6/3c4fef99-14f8-4896-95e9-7a1ca3cb5bda1549439582743-Peter-England-Men-Belt (= product1)s-4941549439582616-1.jpg",Width: 3.5 cm,502.54
product1,Kook N Keech Marvel Unisex Black Cap (= product2)tain America Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/image/style/properties/590523/Kook-N-Keech-Marvel-Unisex-Cap (= product2)s_1_7cbfdf5c72bb5202a6242e25662ee7c0.jpg",,31.79
product1,Quick Brown Fox Men Brown Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6603514/2018/5/31/9b67588f-eef8-47a3-8750-ac29ee654db01527765797795-na-7631527765797633-1.jpg",Height: 9 cm,159.42
product1,Mast & Harbour Men Black Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4452091/2018/8/9/ede80fe6-be3b-44d2-bcf6-414d643c8eb11533798154613-Mast--Harbour-Men-Wallets-7841533798154077-1.jpg",Height: 9 cm,97.44
product1,,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2386147/2018/2/8/11518085089159-Fastrack-Men-Belt (= product1)s-1951518085089093-1.jpg",Width: 3.8 cm,524.96
product1,Hidesign Men Black Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2395270/2018/2/1/11517466763285-SIRIUS-W1-SB-RFID-MANHATTANMELBOURNE-RANCH--BLACK-GREY-3901517466763150-1.jpg",Height: 9 cm,524.96
product1,Being Human Men Tan Genuine Leather Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7372653/2018/10/1/70c6a727-d0d0-4f55-bcb4-a63556e919fa1538396116991-Being-Human-Men-Tan-Genuine-Leather-Solid-Belt (= product1)-3321538396116-1.jpg",Width: 4 cm,502.54
product1,Van Heusen Men Pack of 3 Handkerchief Accessory Gift Set,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7224146/2018/8/27/d5219b8a-0ec2-4e0d-b271-8ca04e0bd7541535348039651-na-7651535348039382-1.jpg",Length: 46 cm,35.84
product1,Tommy Hilfiger Men Black Solid Genuine Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6551407/2018/6/14/78d1fa0e-178c-4f4a-9fa8-29cc7daaf9fa1528951892710-Tommy-Hilfiger-Men-Belt (= product1)s-7321528951891850-1.jpg",Width: 3.5 cm,90.93
product1,Tommy Hilfiger Men Navy Blue Textured Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8387453/2019/1/28/2fbfb200-f5d6-4165-abb0-64117635839c1548660226470-Tommy-Hilfiger-Men-Belt (= product1)s-8431548660226242-1.jpg",Width: 3.5 cm,35.84
product1,Pacific Gold Men Black Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1232414/2016/2/22/11456127300077-Pacific-Gold-Men-Belt (= product1)s-2361456127299908-1.jpg",,56.67
product1,ADIDAS Men Black Perf Beanie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7626680/2018/12/3/0edd5403-ce4f-46e2-bba1-80360253cefe1543829865409-Adidas-Men-Cap (= product2)s-4881543829864389-1.jpg",,117.11
product1,2GO Unisex Black Printed Visor Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8358475/2019/2/5/16b50fe5-f1ae-4985-a0b1-a03d4fc296811549350337168-2GO-Running-Cap (= product2)-1131549350336805-1.jpg",,364.69
product1,Tommy Hilfiger Men Navy Blue Textured Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8387345/2019/1/29/939a0601-284f-48ea-8635-8bbd459c83691548745710054-Tommy-Hilfiger-Men-Belt (= product1)s-371548745709736-1.jpg",Width: 3.5 cm,117.11
product1,Harvard Unisex Maroon & Nvay Blue Colourblocked Baseball Cap (= product2),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7277337/2019/1/16/96d0bf2b-25af-48a8-8440-9933c49aa6011547624841212-Harvard-Unisex-Maroon--Blue-Colourblocked-Baseball-Cap (= product2)-81315-1.jpg",Circumference: 56 cm,31.79
product1,Alvaro Castagnino Men Black & Grey Colourblocked Pattern Muffler,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7740090/2018/11/3/3c521037-1a40-4e34-840b-9a5d7e8a96231541241391038-Alvaro-Castagnino-BlackGrey-Colored-Mufflers-for-Men-2381541241390868-1.jpg",Dimensions: 170cm X 30cm,159.42
product1,Lino Perros Yellow Patterned Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8625315/2019/1/31/498e6fb2-b7af-4f34-9407-74b331b7d7881548933837242-Lino-Perros-Yellow-Microfiber-Tie-3841548933836404-1.jpg",Length: 1.50 metres,90.93
product1,Mast & Harbour Men Tan Brown Leather Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2020230/2017/10/11/11507701124668-Mast--Harbour-Men-Wallets-5621507701124518-1.jpg",Height: 10 cm,502.54
product1,SHINGORA Men Grey Melange Self-Design Woollen Muffler,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7371512/2018/9/14/13117c8d-2c0c-46ac-adce-50d34eb4df161536909345919-na-9041536909345768-1.jpg",Length: 1.8 metres,159.42
product1,United Colors of Benetton Men Tan Brown Solid Leather Formal Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8488975/2019/1/22/5f1102ec-bc19-4f0c-9a85-dfb021316cf21548140793257-United-Colors-of-Benetton-Men-Belt (= product1)s-8041548140792951-1.jpg",Width: 3.5 cm,97.44
product1,Baggit Men Brown Textured Card Holder,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6525475/2018/5/31/2fe78578-d217-44b0-9ada-d7cdd9f463cd1527762707750-Baggit-Men-Wallets-5631527762707516-1.jpg",Height: 8.5 cm,31.79
product1,Tistabene Silver-Toned & Red Round Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/25/1b5e65c7-9e09-4d28-9539-cb030e28d6351548412093674-1.jpg",Dimensions: 1.5 cm,35.84
product1,Puma Unisex Black Bucket Hat,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1919849/2017/5/23/11495538194560-Puma-Unisex-Cap (= product2)s-9701495538194025-1.jpg",,31.79
product1,Dare by Voylla Blue Square Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/21/2d5f6276-41f2-48fb-96f6-ce427f0850571548043174578-1.jpg",Dimensions:,35.84
product1,Tistabene Silver-Toned & Blue Rectangle Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/25/31427bf6-0504-4e8d-a9aa-580c931b11001548405098277-1.jpg",Dimensions: 1.5 cm,364.69
product1,Gauge Machine Men Black Solid Two Fold Leather Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8487573/2019/1/21/a54d10de-1a60-489e-906a-7413b4532bd01548068726511-Gauge-Machine-Men-Wallets-2561548068726057-1.jpg",Height: 10 cm,364.69
product1,Da Milano Men Olive Green Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/5/8f9f7801-c253-4ee5-9934-548cc1af345a1546649791125-1.jpg",Length- 3.6 cm,159.42
product1,Teakwood Leathers Men Black Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2463962/2018/2/8/11518089953701-na-5321518089953569-1.jpg",Width: 3.04 cm,31.79
product1,WildHorn Men Accessory Gift Set,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1410393/2016/6/27/11467015486230-WildHorn-Men-Accessory-Gift-Set-8701467015486055-1.jpg",Wallet,524.96
product1,CHISEL Men Black & Brown Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2150690/2017/9/28/11506592514280-Chisel-Leather-Slim-Reversible-Belt (= product1)-8911506592514143-1.jpg",Width: 1.17 inches,6.92
product1,Flying Machine Men Tan Brown Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7767255/2018/12/12/cd791543-75bd-4781-9ff2-fc74bf0ec9521544596288146-Flying-Machine-Men-Belt (= product1)s-2591544596287698-1.jpg",Width: 3.5 cm,524.96
product1,Knotyy Unisex Set of 2 Beanies,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4378525/2018/3/29/11522303939723-Knotyy-Unisex-Grey-Colourblocked-Beanie-7871522303939493-1.jpg",,502.54
product1,Fastrack Men Tan Brown Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2386167/2018/2/8/11518071028027-Fastrack-Men-Belt (= product1)s-6411518071027947-1.jpg",Width: 4 cm,502.54
product1,SHINGORA Men Maroon & ORange Printed Muffler,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8158065/2018/12/11/e9a8db36-d1ac-4104-89c5-cf85fc5913031544501464095-SHINGORA-Men-Maroon--ORange-Printed-Muffler-3331544501462651-1.jpg",,159.42
product1,INVICTUS Men Brown Textured Genuine Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6799556/2018/8/20/e652922e-f2e3-4ca7-bf84-b80469f1351b1534742953676-INVICTUS-Men-Wallets-3151534742952865-1.jpg",Height: 8.5 cm,524.96
product1,INVICTUS Men Tan Brown Solid Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2274292/2018/2/16/11518779707994-INVICTUS-Men-Tan-Solid-Two-Fold-Wallet-3591518779707848-1.jpg",Height: 10.5 cm,117.11
product1,Pacific Gold Men Black Solid Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7806685/2018/11/19/8aa9733c-8c47-4228-8fe9-9b5cf6af06b71542621654098-Pacific-Gold-Men-Black-Solid-Leather-Belt (= product1)-6841542621654015-1.jpg",Width: 3.5 cm,502.54
product1,Tossido Black Square Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/26/1e4d5dd0-831e-4073-b62b-2d6c5ed279261543223754916-1.jpg",Dimensions:,263.33
product1,Tommy Hilfiger Men Tan Brown Self Design Genuine Leather Two Fold Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7409346/2018/12/18/04de08cb-a8d5-41e5-9205-9c7fdb36c9bb1545112462013-Tommy-Hilfiger-Men-Wallets-8131545112461201-1.jpg",Height: 9.5 cm,263.33
product1,Blacksmith Black Woven Design Broad Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/9/f404ce23-3345-4bfb-92b5-60538044cb371547026927772-1.jpg",Regular Tie: 3 inch Wide | 58 inches in Length,364.69
product1,Alvaro Castagnino Purple Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1921410/2017/5/24/11495606534250-Alvaro-Castagnino-Men-Ties-9381495606534083-1.jpg",Length: 145 cm,364.69
product1,Alvaro Castagnino Men Olive Green Genuine Leather Zip-Around Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1832424/2017/3/31/11490957656868-Alvaro-Castagnino-Men-Wallets-9021490957656716-1.jpg",Height: 9.5 cm,31.79
product1,Alvaro Castagnino Pack of 3 White Solid Cotton Handkerchief Gift Set,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6925145/2018/7/11/42911df9-ad90-4a3a-875e-a2d6054e19db1531297452672-Alvaro-Castagnino-White-Colored-Cotton-Handkerchief-Pack-of-3-Pieces-5691531297452521-1.jpg",Size: 44 X 44Cms,31.79
product1,United Colors of Benetton Men Coffee Brown Solid Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7271185/2018/9/18/a3a0379e-9e48-481e-9d9f-c1f5e8d047ba1537254640785-United-Colors-of-Benetton-Men-Belt (= product1)s-6291537254640739-1.jpg",Width: 3 cm,117.11
product1,Tistabene Silver-Toned Square Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2019/1/28/9acc3f5d-0043-46ab-ab51-f259f3d26a8f1548657082499-1.jpg",Dimensions:��Length = 25.40 MM And Width = 17.53 MM,524.96
product1,Tommy Hilfiger Men Black Leather Solid Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8386811/2019/1/25/7683ce7a-e520-4716-a78d-e7d8d59194511548395711534-Tommy-Hilfiger-Men-Black-Solid-Belt (= product1)-9971548395711237-1.jpg",Width: 3.5 cm,524.96
product1,ZIDO Blue Solid Bow Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2446715/2018/2/2/11517549323801-NA-2651517549323702-1.jpg",Size: 13 cm x 6 cm,97.44
product1,WildHorn Unisex Black Genuine Leather Wallet,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1207536/2016/2/8/11454911860049-WildHorn-Unisex-Wallets-7001454911859538-1.jpg",Height: 9 cm,117.11
product1,Tossido Navy Blue Woven Design Bow Tie,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/5613521/2018/5/3/11525334288840-Tossido-Navy-Blue-Woven-Design-Bow-Tie-7411525334288722-1.jpg",,502.54
product1,Fastrack Men Tan Brown Textured Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2386166/2018/2/8/11518085100706-Fastrack-Men-Belt (= product1)s-3241518085100631-1.jpg",Width: 3.8 cm,31.79
product1,Alvaro Castagnino Red Square Cufflinks,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/5886255/2018/5/14/b0393c1c-543e-411b-813c-d4cbb9d1da5e1526286566689-Alvaro-Castagnino-RedSilver-Colored-Cufflinks-For-Men-9761526286566597-1.jpg",Dimensions: 11 mm,6.92
product1,United Colors of Benetton Men Tan Brown Solid Leather Belt (= product1),"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8489089/2019/1/22/c819528e-9c77-44a7-8e97-132f216aa1131548141003569-United-Colors-of-Benetton-Men-Belt (= product1)s-4901548141003008-1.jpg",Width: 4 cm,502.54
